eo_number,date_as_printed,title_as_printed,transcription_note
9691,1946-02-04,Resumption of peacetime civil service regulations,
9801,1946-11-09,Removal of wage and price controls,
9808,1946-12-05,Establishment of the President's Committee on Civil Rights,
9863,1946-05-31,Designation of certain international organizations as having diplomatic privileges,date printed as May 31 1946; EO 9863 was signed May 31 1947 — out of sequence with surrounding entries; verify against corpus
9981,1946-07-26,Establishing the President's Committee on Equality of Treatment and Opportunity in the Armed Services,date printed as July 26 1946; EO 9981 was signed July 26 1948 — verify against corpus
9989,1948-08-20,Transferring authority over blocked assets to the Attorney General,
10028,1949-12-12,Defining Noncombatant Service and Noncombatant Training,
10152,1950-08-17,Incentive Pay for Hazardous Duty,
10161,1950-09-09,Delegating functions under the Defense Production Act,
10173,1950-10-18,"Protection of vessels, harbors, ports, and waterfront facilities of the United States",
10193,1950-12-16,Providing for the conduct of the mobilization effort,
10210,1951-02-02,"Authorizing exercise of powers in Title II of First War Powers Act, 1941",
10251,1951-06-07,Suspension of eight-hour law for certain Department of Defense personnel,
10277,1951-08-01,"Amending regulations regarding protection of vessels, harbors, ports, and waterfront facilities of the United States",
10352,1952-05-19,"Amending regulations regarding protection of vessels, harbors, ports, and waterfront facilities of the United States",
10433,1953-02-04,Further providing for administration of Defense Production Act,
10460,1953-06-16,Telecommunications authority of the Director of Defense Mobilization,
10483,1953-09-02,Establishing the Operations Coordinating Board,
10621,1955-07-01,Delegating functions to the Secretary of Defense,
10816,1959-05-07,Safeguarding information in the interests of the defense of the United States-amendment of previous executive order,
10842,1959-10-06,Creating board of inquiry on labor disputes in the maritime industry,
10903,1961-01-09,Delegating authority-regulations relating to overseas allowances and benefits to government personnel,
10924,1961-03-01,Establishing the Peace Corps in the Department of State,
10938,1961-05-04,Establishing the President's Foreign Intelligence Advisory Board,
10939,1961-05-05,Ethical standards for government officials,
11076,1963-01-15,Establishing the President's Advisory Commission on Narcotic and Drug Abuse,
11098,1963-02-14,Amending Selective Service regulations,
11141,1964-02-12,Declaring a public policy against discrimination on the basis of age,
11296,1966-08-10,Evaluating flood hazards in federal buildings and properties,
11327,1967-02-15,Authority to order ready reserve to active duty,
11375,1966-10-13,"Amending Executive Order 11246, equal employment opportunity",date printed as Oct 13 1966; EO 11375 was signed Oct 13 1967 — out of sequence with surrounding entries; verify against corpus
11404,1968-04-07,Restoration of law and order in the State of Illinois,
11435,1968-11-11,Designating the Secretary of Interior to administer criminal and civil law in Native American territories,
11458,1969-03-03,National Program for Minority Business Enterprise,
11490,1969-10-28,Assigning emergency preparedness functions,
11512,1970-02-27,"Federal space planning, acquisition, and management",
11514,1970-03-05,Protection and enhancement of environmental quality,
11527,1970-04-23,Amending Selective Service regulations,
11593,1971-05-13,Protection and enhancement of the cultural environment,
11615,1971-08-15,"Stabilization of prices, rents, wages, and salaries",
11636,1971-12-17,Employee-management relations in the Foreign Service,
11697,1973-12-17,Inspection of income tax returns by the Department of Agriculture,date printed as Dec 17 1973; EO 11697 was signed Jan 17 1973 — verify against corpus
11785,1974-06-04,Amending Executive Order 10450-security requirements for government employment,
11796,1974-07-30,Regulation of exports,
11808,1974-09-30,Establishing the President's Economic Policy Board,
11810,1974-09-30,Regulation of exports,
11832,1975-01-09,"Establishing National Commission on the Observance of International Women's Year, 1975",
11888,1975-11-24,Implementing the Generalized System of Preferences,
11911,1976-04-13,Preservation of endangered species,
11958,1977-01-18,Administration of arms export controls,
11992,1977-05-24,Establishing the Committee on Selection of Federal Judicial Officers,
12041,1978-02-25,Amending the Generalized System of Preferences,
12059,1978-05-11,Establishing the United States Circuit Judge Nominating Commission,
12072,1978-08-16,Federal space management,
12088,1978-10-13,Federal compliance with pollution control standards,
12114,1979-01-04,Environmental effects abroad of major federal actions,
12133,1979-05-09,Drug policy functions,
12139,1979-05-23,Foreign intelligence electronic surveillance,
12143,1979-06-22,Maintaining unofficial relations with the people of Taiwan,
12160,1979-09-26,Enhancement and coordination of federal consumer programs,
12183,1979-12-16,Revoking Rhodesian sanctions,
12202,1980-03-18,Establishing the Nuclear Safety Oversight Committee,
12217,1980-06-18,Federal compliance with fuel use prohibitions,
12232,1980-08-08,Historically Black Colleges and Universities,
12250,1980-11-02,Coordination of nondiscrimination laws,
12264,1981-01-15,Federal policy on export of banned or significantly restricted substances,
12279,1981-01-19,Transfer of Iranian assets held by domestic banks,
12288,1981-01-29,Terminating the Wage and Price Regulatory Program,
12296,1981-03-02,Establishing the President's Economic Policy Advisory Board,
12331,1981-10-20,President's Foreign Intelligence Advisory Board,
12340,1980-05-25,Amendments to the Manual for Courts Martial,date printed as May 25 1980; EO 12340 was signed Jan 20 1982 — out of sequence with surrounding entries; verify against corpus
12369,1980-06-30,Establishing the President's Private Sector Survey on Cost Control in the Federal Government (Grace Commission),date printed as June 30 1980; EO 12369 was signed June 30 1982 — verify against corpus
12400,1983-12-03,Establishing the President's Commission on Strategic Forces,date printed as Dec 3 1983; EO 12400 was signed Jan 3 1983 — verify against corpus
12434,1984-07-19,Alaskan railroad rates,
12502,1985-01-28,Establishing the Chemical Warfare Review Commission,
12525,1985-07-12,Emergency authority for export controls,
12541,1985-12-20,Continuation of export control regulations,
12544,1986-01-08,Blocking Libyan Government property in the United States or held by U.S. persons,
12548,1986-02-14,Grazing fees on federal lands,
12615,1987-11-19,Performance of commercial activities by the federal government,
12632,1988-03-23,Federal labor management relations program,
12661,1988-12-27,Implementing the Omnibus Trade and Competitiveness Act of 1988,
12662,1988-12-31,Implementing the U.S.-Canada Free Trade Act,printed as 12262 in appendix — clear typo; EO 12662 (Dec 31 1988) implements the U.S.-Canada FTA; corrected here and must be verified against corpus
12675,1989-04-20,Establishing the National Space Council,
12708,1990-03-23,Amendments to the Manual for Courts Martial,
12722,1990-08-02,Blocking Iraqi Government property and prohibiting transactions with Iraq,
12724,1990-08-09,Blocking Iraqi Government property and prohibiting transactions with Iraq,
12730,1990-09-30,Continuing export control regulations,
12735,1990-11-16,Chemical and biological weapons proliferation,
12740,1990-11-29,Waiver under the Trade Act of 1974 with respect to the Soviet Union,
12806,1992-05-19,Establishing a fetal tissue bank,
12834,1993-12-20,Ethics commitments by executive branch appointees,date printed as Dec 20 1993; EO 12834 was signed Jan 20 1993 — out of sequence with 12839 below; verify against corpus
12839,1993-02-10,Reduction of one hundred thousand federal positions,
12853,1993-06-30,Blocking Haitian government property and transactions with Haiti,
12864,1993-09-15,Establishing United States Advisory Council on the National Information Structure,
12874,1993-10-20,"Federal acquisition, recycling, and waste prevention",
12897,1994-02-03,Garnishment of federal employees' pay,
12937,1994-11-10,Declassification of selected records with the National Archives,
12958,1995-04-17,Classified national security information,
12961,1995-05-26,Establishing the President's Advisory Committee on Gulf War Veterans' Illness,
13010,1996-08-17,Establishing the Commission on Critical Infrastructure Protection,
13021,1996-10-23,Tribal Colleges and Universities,
13047,1997-05-22,Prohibiting New Investment in Burma,
13080,1998-04-10,American Heritage Rivers Initiative Advisory Committee,
13103,1998-10-05,Computer Software Piracy,
